DATE,AGE 50-64
10/11/09,2255
10/18/09,2800
10/25/09,3048
11/1/09,3083
11/8/09,2672
11/15/09,2314
11/22/09,1843
11/29/09,1406
12/6/09,1470
12/13/09,1314
12/20/09,1113
12/27/09,1049
1/3/10,1284
1/10/10,1244
1/17/10,1182
1/24/10,1008
1/31/10,1046
2/7/10,948
2/14/10,1006
2/21/10,994
2/28/10,1218
3/7/10,1085
3/14/10,1112
3/21/10,976
3/28/10,827
4/4/10,736
4/11/10,644
4/18/10,598
4/25/10,522
5/2/10,557
5/9/10,482
5/16/10,491
5/23/10,498
5/30/10,445
6/6/10,463
6/13/10,374
6/20/10,339
6/27/10,397
7/4/10,323
7/11/10,334
7/18/10,298
7/25/10,335
8/1/10,302
8/8/10,291
8/15/10,300
8/22/10,360
8/29/10,295
9/5/10,354
9/12/10,374
9/19/10,358
9/26/10,480
10/3/10,446
10/10/10,627
10/17/10,649
10/24/10,690
10/31/10,682
11/7/10,736
11/14/10,734
11/21/10,774
11/28/10,743
12/5/10,915
12/12/10,893
12/19/10,1031
12/26/10,1262
1/2/11,1581
1/9/11,1586
1/16/11,1537
1/23/11,1734
1/30/11,1794
2/6/11,1990
2/13/11,1996
2/20/11,2352
2/27/11,2028
3/6/11,1740
3/13/11,1421
3/20/11,1175
3/27/11,978
4/3/11,877
4/10/11,747
4/17/11,641
4/24/11,559
5/1/11,555
5/8/11,524
5/15/11,485
5/22/11,461
5/29/11,405
6/5/11,397
6/12/11,432
6/19/11,405
6/26/11,308
7/3/11,324
7/10/11,270
7/17/11,316
7/24/11,259
7/31/11,263
8/7/11,203
8/14/11,231
8/21/11,241
8/28/11,305
9/4/11,308
9/11/11,293
9/18/11,346
9/25/11,374
10/2/11,449
10/9/11,632
10/16/11,672
10/23/11,655
10/30/11,657
11/6/11,760
11/13/11,671
11/20/11,797
11/27/11,679
12/4/11,815
12/11/11,772
12/18/11,838
12/25/11,818
1/1/12,946
1/8/12,1028
1/15/12,918
1/22/12,800
1/29/12,825
2/5/12,915
2/12/12,894
2/19/12,1054
2/26/12,1131
3/4/12,1153
3/11/12,998
3/18/12,1185
3/25/12,988
4/1/12,920
4/8/12,839
4/15/12,767
4/22/12,719
4/29/12,664
5/6/12,636
5/13/12,606
5/20/12,588
5/27/12,483
6/3/12,446
6/10/12,458
6/17/12,428
6/24/12,411
7/1/12,422
7/8/12,388
7/15/12,337
7/22/12,318
7/29/12,372
8/5/12,408
8/12/12,375
8/19/12,357
8/26/12,425
9/2/12,443
9/9/12,481
9/16/12,513
9/23/12,511
9/30/12,575
10/7/12,702
10/14/12,745
10/21/12,760
10/28/12,771
11/4/12,797
11/11/12,925
11/18/12,897
11/25/12,1105
12/2/12,1498
12/9/12,1791
12/16/12,2087
12/23/12,2730
12/30/12,3639
1/13/13,4080
1/20/13,4502
1/27/13,3523
2/3/13,2760
2/10/13,2551
2/17/13,1971
2/24/13,1894
3/3/13,1625
3/10/13,1619
3/17/13,1536
3/24/13,1352
3/31/13,1270
4/7/13,1124
4/14/13,1106
4/21/13,957
4/28/13,724
5/5/13,582
5/12/13,565
5/19/13,570
5/26/13,565
6/2/13,493
6/9/13,483
6/16/13,460
6/23/13,468
6/30/13,489
7/7/13,399
7/14/13,321
7/21/13,362
7/28/13,315
8/4/13,332
8/11/13,350
8/18/13,302
8/25/13,331
9/1/13,301
9/8/13,410
9/15/13,462
9/22/13,440
9/29/13,537
10/6/13,648
10/13/13,638
10/20/13,762
10/27/13,785
11/3/13,816
11/10/13,930
11/17/13,953
11/24/13,990
12/1/13,1083
12/8/13,1059
12/15/13,1552
12/22/13,1591
12/29/13,2272
1/5/14,2874
1/12/14,3555
1/19/14,3565
1/26/14,3149
2/2/14,2616
2/9/14,2403
2/16/14,2242
2/23/14,1829
3/2/14,1684
3/9/14,1505
3/16/14,1430
3/23/14,1360
3/30/14,1422
4/6/14,1298
4/13/14,1436
4/20/14,1316
4/27/14,1088
5/4/14,1036
5/11/14,913
5/18/14,834
5/25/14,825
6/1/14,771
6/8/14,625
6/15/14,607
6/22/14,561
6/29/14,528
7/6/14,509
7/13/14,416
7/20/14,441
7/27/14,403
8/3/14,398
8/10/14,417
8/17/14,409
8/24/14,403
8/31/14,412
9/7/14,401
9/14/14,453
9/21/14,568
9/28/14,605
10/5/14,657
10/12/14,712
10/19/14,821
10/26/14,870
11/2/14,892
11/9/14,807
11/16/14,863
11/23/14,911
11/30/14,1049
12/7/14,1165
12/14/14,1767
12/21/14,1970
12/28/14,2671
1/4/15,3718
1/11/15,4288
1/18/15,2909
1/25/15,2951
2/1/15,2585
2/8/15,2368
2/15/15,2072
2/22/15,1842
3/1/15,1765
3/8/15,1696
3/15/15,1654
3/22/15,1573
3/29/15,1486
4/5/15,1321
4/12/15,1387
4/19/15,1160
4/26/15,975
5/3/15,888
5/10/15,846
5/17/15,813
5/24/15,736
5/31/15,652
6/7/15,594
6/14/15,575
6/21/15,495
6/28/15,496
7/5/15,430
7/12/15,443
7/19/15,405
7/26/15,413
8/2/15,432
8/9/15,420
8/16/15,400
8/23/15,436
8/30/15,423
9/6/15,481
9/13/15,461
9/20/15,536
9/27/15,627
10/4/15,652
10/11/15,871
10/18/15,912
10/25/15,951
11/1/15,927
11/8/15,935
11/15/15,943
11/22/15,1026
11/29/15,981
12/6/15,1232
12/13/15,1252
12/20/15,1250
12/27/15,1256
1/3/16,1524
1/10/16,1631
1/17/16,1380
1/24/16,1297
1/31/16,1551
2/7/16,1625
2/14/16,1916
2/21/16,2347
2/28/16,2606
3/6/16,2599
3/13/16,2977
3/20/16,2489
3/27/16,2000
4/3/16,1953
4/10/16,1660
4/17/16,1533
4/24/16,1373
5/1/16,1235
5/8/16,1037
5/15/16,849
5/22/16,839
5/29/16,717
6/5/16,663
6/12/16,617
6/19/16,588
6/26/16,493
7/3/16,473
7/10/16,463
7/17/16,422
7/24/16,384
7/31/16,362
8/7/16,359
8/14/16,382
8/21/16,373
8/28/16,465
9/4/16,455
9/11/16,471
9/18/16,579
9/25/16,613
10/2/16,630
10/9/16,828
10/16/16,879
10/23/16,981
10/30/16,987
11/6/16,1030
11/13/16,1055
11/20/16,1083
11/27/16,1108
12/4/16,1359
12/11/16,1413
12/18/16,1485
12/25/16,1923
1/1/17,2652
1/8/17,2773
1/15/17,2639
1/22/17,2717
1/29/17,2623
2/5/17,2968
2/12/17,3749
2/19/17,3652
2/26/17,3807
3/5/17,2983
3/12/17,2766
3/19/17,2582
3/26/17,2641
4/2/17,2354
4/9/17,1760
4/16/17,1470
4/23/17,1258
4/30/17,1111
5/7/17,1011
5/14/17,862
5/21/17,886
5/28/17,771
6/4/17,710
6/11/17,671
6/18/17,595
