DATE,AGE 5-24
10/13/02,805
10/20/02,872
10/27/02,878
11/3/02,1045
11/10/02,1189
11/17/02,1272
11/24/02,1173
12/1/02,1166
12/8/02,978
12/15/02,1117
12/22/02,1179
12/29/02,1404
1/5/03,937
1/12/03,1019
1/19/03,1296
1/26/03,1798
2/2/03,2998
2/9/03,4064
2/16/03,4447
2/23/03,4224
3/2/03,3689
3/9/03,2583
3/16/03,2103
3/23/03,1669
3/30/03,1321
4/6/03,1016
4/13/03,846
4/20/03,799
4/27/03,539
5/4/03,508
5/11/03,444
5/18/03,471
5/25/03,283
6/1/03,262
6/8/03,205
6/15/03,195
6/22/03,187
6/29/03,123
7/6/03,124
7/13/03,91
7/20/03,141
7/27/03,98
8/3/03,139
8/10/03,120
8/17/03,125
8/24/03,131
8/31/03,144
9/7/03,155
9/14/03,182
9/21/03,184
9/28/03,183
10/5/03,221
10/12/03,881
10/19/03,1132
10/26/03,1147
11/2/03,1369
11/9/03,2080
11/16/03,2735
11/23/03,4133
11/30/03,5684
12/7/03,4933
12/14/03,7817
12/21/03,11550
12/28/03,9851
1/4/04,5231
1/11/04,2894
1/18/04,1857
1/25/04,1604
2/1/04,1543
2/8/04,1448
2/15/04,1297
2/22/04,1255
2/29/04,1038
3/7/04,910
3/14/04,888
3/21/04,826
3/28/04,733
4/4/04,611
4/11/04,566
4/18/04,573
4/25/04,511
5/2/04,404
5/9/04,491
5/16/04,443
5/23/04,380
5/30/04,349
6/6/04,308
6/13/04,309
6/20/04,240
6/27/04,284
7/4/04,183
7/11/04,205
7/18/04,280
7/25/04,200
8/1/04,230
8/8/04,235
8/15/04,256
8/22/04,256
8/29/04,265
9/5/04,358
9/12/04,309
9/19/04,413
9/26/04,416
10/3/04,382
10/10/04,1256
10/17/04,1373
10/24/04,1534
10/31/04,1671
11/7/04,1718
11/14/04,1874
11/21/04,1874
11/28/04,1678
12/5/04,2059
12/12/04,2052
12/19/04,2071
12/26/04,1807
1/2/05,1993
1/9/05,2450
1/16/05,2982
1/23/05,3682
1/30/05,5364
2/6/05,7650
2/13/05,8854
2/20/05,8400
2/27/05,6759
3/6/05,5343
3/13/05,4494
3/20/05,3513
3/27/05,2771
4/3/05,2133
4/10/05,1737
4/17/05,1603
4/24/05,1469
5/1/05,1411
5/8/05,1136
5/15/05,1115
5/22/05,926
5/29/05,695
6/5/05,678
6/12/05,594
6/19/05,507
6/26/05,507
7/3/05,452
7/10/05,390
7/17/05,361
7/24/05,364
7/31/05,327
8/7/05,326
8/14/05,350
8/21/05,326
8/28/05,311
9/4/05,367
9/11/05,396
9/18/05,383
9/25/05,516
10/2/05,484
10/9/05,1256
10/16/05,1247
10/23/05,1525
10/30/05,1599
11/6/05,1894
11/13/05,1929
11/20/05,1951
11/27/05,1593
12/4/05,2176
12/11/05,2463
12/18/05,3063
12/25/05,3058
1/1/06,2561
1/8/06,2366
1/15/06,2921
1/22/06,3150
1/29/06,3646
2/5/06,4153
2/12/06,4593
2/19/06,4979
2/26/06,5284
3/5/06,5008
3/12/06,5106
3/19/06,4154
3/26/06,3709
4/2/06,3393
4/9/06,2660
4/16/06,2014
4/23/06,1479
4/30/06,1382
5/7/06,1208
5/14/06,1039
5/21/06,969
5/28/06,764
6/4/06,561
6/11/06,626
6/18/06,447
6/25/06,409
7/2/06,390
7/9/06,402
7/16/06,511
7/23/06,440
7/30/06,403
8/6/06,430
8/13/06,435
8/20/06,466
8/27/06,379
9/3/06,457
9/10/06,506
9/17/06,521
9/24/06,534
10/1/06,512
10/8/06,1699
10/15/06,1602
10/22/06,1830
10/29/06,1996
11/5/06,2270
11/12/06,2393
11/19/06,2681
11/26/06,2202
12/3/06,2792
12/10/06,3244
12/17/06,4470
12/24/06,4065
12/31/06,2868
1/7/07,2481
1/14/07,2756
1/21/07,3248
1/28/07,4684
2/4/07,5648
2/11/07,6995
2/18/07,6668
2/25/07,6537
3/4/07,5429
3/11/07,4937
3/18/07,4031
3/25/07,3307
4/1/07,2508
4/8/07,1803
4/15/07,1821
4/22/07,1523
4/29/07,1386
5/6/07,1143
5/13/07,1055
5/20/07,861
5/27/07,785
6/3/07,652
6/10/07,510
6/17/07,469
6/24/07,441
7/1/07,408
7/8/07,360
7/15/07,372
7/22/07,345
7/29/07,392
8/5/07,311
8/12/07,385
8/19/07,411
8/26/07,457
9/2/07,500
9/9/07,545
9/16/07,682
9/23/07,681
9/30/07,788
10/7/07,1997
