Time,Heart rate
1/1/00 6:00:00,84.2697
1/1/00 6:00:05,84.2697
1/1/00 6:00:10,84.0619
1/1/00 6:00:15,85.6542
1/1/00 6:00:20,87.2093
1/1/00 6:00:25,87.1246
1/1/00 6:00:30,86.8726
1/1/00 6:00:35,86.7052
1/1/00 6:00:40,87.5899
1/1/00 6:00:45,89.1475
1/1/00 6:00:50,89.8204
1/1/00 6:00:55,89.8204
1/1/00 6:01:00,90.4375
1/1/00 6:01:05,91.7605
1/1/00 6:01:10,93.1081
1/1/00 6:01:15,94.3291
1/1/00 6:01:20,95.8003
1/1/00 6:01:25,97.5119
1/1/00 6:01:30,98.7457
1/1/00 6:01:35,98.904
1/1/00 6:01:40,98.3437
1/1/00 6:01:45,98.3075
1/1/00 6:01:50,98.8313
1/1/00 6:01:55,99.0789
1/1/00 6:02:00,98.8157
1/1/00 6:02:05,98.2998
1/1/00 6:02:10,97.7311
1/1/00 6:02:15,97.6471
1/1/00 6:02:20,97.7922
1/1/00 6:02:25,97.2974
1/1/00 6:02:30,96.2042
1/1/00 6:02:35,95.2318
1/1/00 6:02:40,94.9367
1/1/00 6:02:45,95.0867
1/1/00 6:02:50,95.389
1/1/00 6:02:55,95.5414
1/1/00 6:03:00,95.2439
1/1/00 6:03:05,94.9415
1/1/00 6:03:10,95.3557
1/1/00 6:03:15,96.3423
1/1/00 6:03:20,97.1563
1/1/00 6:03:25,97.4026
1/1/00 6:03:30,96.7028
1/1/00 6:03:35,96.5516
1/1/00 6:03:40,97.9837
1/1/00 6:03:45,98.9879
1/1/00 6:03:50,97.6312
1/1/00 6:03:55,95.4064
1/1/00 6:04:00,93.8603
1/1/00 6:04:05,93.0552
1/1/00 6:04:10,94.6012
1/1/00 6:04:15,95.8476
1/1/00 6:04:20,95.7692
1/1/00 6:04:25,95.9236
1/1/00 6:04:30,95.7692
1/1/00 6:04:35,95.9211
1/1/00 6:04:40,95.8501
1/1/00 6:04:45,94.6703
1/1/00 6:04:50,93.0993
1/1/00 6:04:55,91.972
1/1/00 6:05:00,91.7821
1/1/00 6:05:05,91.7911
1/1/00 6:05:10,90.807
1/1/00 6:05:15,89.3196
1/1/00 6:05:20,88.1511
1/1/00 6:05:25,88.7762
1/1/00 6:05:30,90.2265
1/1/00 6:05:35,90.8066
1/1/00 6:05:40,91.2284
1/1/00 6:05:45,92.4238
1/1/00 6:05:50,93.243
1/1/00 6:05:55,92.8472
1/1/00 6:06:00,92.5926
1/1/00 6:06:05,91.7778
1/1/00 6:06:10,91.2974
1/1/00 6:06:15,91.6364
1/1/00 6:06:20,91.2952
1/1/00 6:06:25,91.771
1/1/00 6:06:30,93.2285
1/1/00 6:06:35,93.3199
1/1/00 6:06:40,91.8799
1/1/00 6:06:45,91.2239
1/1/00 6:06:50,92.4055
1/1/00 6:06:55,93.8716
1/1/00 6:07:00,94.5825
1/1/00 6:07:05,94.5594
1/1/00 6:07:10,94.9453
1/1/00 6:07:15,96.2412
1/1/00 6:07:20,96.6879
1/1/00 6:07:25,95.8295
1/1/00 6:07:30,94.7819
1/1/00 6:07:35,93.4731
1/1/00 6:07:40,92.7997
1/1/00 6:07:45,92.963
1/1/00 6:07:50,92.6996
1/1/00 6:07:55,91.9648
1/1/00 6:08:00,91.2417
1/1/00 6:08:05,91.9312
1/1/00 6:08:10,93.9548
1/1/00 6:08:15,95.3044
1/1/00 6:08:19,95.2511
1/1/00 6:08:24,94.5358
1/1/00 6:08:29,93.8093
1/1/00 6:08:34,93.2287
1/1/00 6:08:39,92.2065
1/1/00 6:08:44,92.1588
1/1/00 6:08:49,93.6376
1/1/00 6:08:54,94.899
1/1/00 6:08:59,95.1592
1/1/00 6:09:04,95.2415
1/1/00 6:09:09,95.5414
1/1/00 6:09:14,95.0971
1/1/00 6:09:19,94.528
1/1/00 6:09:24,95.5887
1/1/00 6:09:29,96.4715
1/1/00 6:09:34,96.6158
1/1/00 6:09:39,97.0769
1/1/00 6:09:44,96.8531
1/1/00 6:09:49,96.3947
1/1/00 6:09:54,97.4291
1/1/00 6:09:59,98.1767
1/1/00 6:10:04,97.0148
1/1/00 6:10:09,96.044
1/1/00 6:10:14,95.9581
1/1/00 6:10:19,96.4814
1/1/00 6:10:24,96.5211
1/1/00 6:10:29,95.3629
1/1/00 6:10:34,93.5741
1/1/00 6:10:39,92.077
1/1/00 6:10:44,90.4094
1/1/00 6:10:49,90.1751
1/1/00 6:10:54,91.3312
1/1/00 6:10:59,91.2883
1/1/00 6:11:04,89.0592
1/1/00 6:11:09,87.052
1/1/00 6:11:14,86.6226
1/1/00 6:11:19,85.7889
1/1/00 6:11:24,85.6348
1/1/00 6:11:29,85.3911
1/1/00 6:11:34,83.8064
1/1/00 6:11:39,82.8729
1/1/00 6:11:44,82.6266
1/1/00 6:11:49,82.645
1/1/00 6:11:54,82.645
1/1/00 6:11:59,82.645
1/1/00 6:12:04,82.645
1/1/00 6:12:09,82.645
1/1/00 6:12:14,82.645
1/1/00 6:12:19,82.645
1/1/00 6:12:24,82.645
1/1/00 6:12:29,82.645
1/1/00 6:12:34,95.0292
1/1/00 6:12:39,95.6378
1/1/00 6:12:44,95.3338
1/1/00 6:12:49,94.6154
1/1/00 6:12:54,94.717
1/1/00 6:12:59,94.4172
1/1/00 6:13:04,93.071
1/1/00 6:13:09,92.4772
1/1/00 6:13:14,92.7607
1/1/00 6:13:19,92.308
1/1/00 6:13:24,92.0245
1/1/00 6:13:29,91.0371
1/1/00 6:13:34,90.0865
1/1/00 6:13:39,90.1796
1/1/00 6:13:44,90.0281
1/1/00 6:13:49,90.5564
1/1/00 6:13:54,91.7077
1/1/00 6:13:59,92.4405
1/1/00 6:14:04,92.963
1/1/00 6:14:09,93.4589
1/1/00 6:14:14,93.75
1/1/00 6:14:19,94.2788
