Time,China
1,0.211242
2,0.211242
3,0.211242
4,0.211242
5,0.211242
6,0.211242
7,0.211242
8,0.211242
9,0.211242
10,0.211242
11,0.211242
12,0.211242
13,0.211242
14,0.211242
15,0.211242
16,0.211242
17,0.211242
18,0.211242
19,0.211242
20,0.211242
21,0.211242
22,0.211242
23,0.211242
24,0.211242
25,0.211242
26,0.211242
27,0.211242
28,0.211242
29,0.211242
30,0.211242
31,0.211242
32,0.211242
33,0.211242
34,0.211242
35,0.211242
36,0.211242
37,0.211242
38,0.211242
39,0.211242
40,0.211242
41,0.211242
42,0.211242
43,0.211242
44,0.211242
45,0.211242
46,0.211242
47,0.211242
48,0.211242
49,0.211242
50,0.211242
51,0.211242
52,0.211242
53,0.211242
54,0.211242
55,0.211242
56,0.211242
57,0.211242
58,0.211242
59,0.211242
60,0.211242
61,0.211242
62,0.211242
63,0.211265
64,0.211265
65,0.211242
66,0.211242
67,0.211242
68,0.211242
69,0.211242
70,0.211242
71,0.211242
72,0.211242
73,0.211242
74,0.211242
75,0.211242
76,0.211242
77,0.211242
78,0.211242
79,0.211242
80,0.211242
81,0.211242
82,0.211242
83,0.211242
84,0.211242
85,0.211242
86,0.211242
87,0.211242
88,0.211242
89,0.211242
90,0.211242
91,0.211242
92,0.211242
93,0.211242
94,0.211242
95,0.211242
96,0.211242
97,0.211242
98,0.211242
99,0.211242
100,0.211242
101,0.211242
102,0.211242
103,0.211242
104,0.211242
105,0.211242
106,0.211242
107,0.211242
108,0.211242
109,0.211242
110,0.211242
111,0.211242
112,0.211242
113,0.211242
114,0.211242
115,0.211242
116,0.211242
117,0.211242
118,0.211265
119,0.211242
120,0.211242
121,0.211242
122,0.211242
123,0.211242
124,0.211242
125,0.211242
126,0.211242
127,0.211242
128,0.211242
129,0.211242
130,0.211242
131,0.211242
132,0.211242
133,0.211242
134,0.211242
135,0.211242
136,0.211242
137,0.211242
138,0.211242
139,0.211242
140,0.211242
141,0.211242
142,0.211242
143,0.211242
144,0.211242
145,0.211242
146,0.211242
147,0.211242
148,0.211242
149,0.211242
150,0.211242
151,0.211242
152,0.211242
153,0.211242
154,0.211242
155,0.211242
156,0.211242
157,0.211242
158,0.211242
159,0.211242
160,0.211242
161,0.211242
162,0.211242
163,0.211242
164,0.211242
165,0.211242
166,0.211242
167,0.211242
168,0.211242
169,0.211242
170,0.211242
171,0.211242
172,0.211242
173,0.211242
174,0.211242
175,0.211242
176,0.211242
177,0.211242
