Date Time,p (mbar)
01.01.2020 00:10:00,1008.89
01.01.2020 00:20:00,1008.76
01.01.2020 00:30:00,1008.66
01.01.2020 00:40:00,1008.64
01.01.2020 00:50:00,1008.61
01.01.2020 01:00:00,1008.44
01.01.2020 01:10:00,1008.49
01.01.2020 01:20:00,1008.4
01.01.2020 01:30:00,1008.29
01.01.2020 01:40:00,1008.28
01.01.2020 01:50:00,1008.24
01.01.2020 02:00:00,1008.32
01.01.2020 02:10:00,1008.24
01.01.2020 02:20:00,1008.35
01.01.2020 02:30:00,1008.3
01.01.2020 02:40:00,1008.4
01.01.2020 02:50:00,1008.39
01.01.2020 03:00:00,1008.46
01.01.2020 03:10:00,1008.15
01.01.2020 03:20:00,1008.07
01.01.2020 03:30:00,1008.12
01.01.2020 03:40:00,1008.04
01.01.2020 03:50:00,1008.16
01.01.2020 04:00:00,1008
01.01.2020 04:10:00,1007.76
01.01.2020 04:20:00,1007.84
01.01.2020 04:30:00,1007.85
01.01.2020 04:40:00,1008.02
01.01.2020 04:50:00,1007.92
01.01.2020 05:00:00,1007.63
01.01.2020 05:10:00,1007.63
01.01.2020 05:20:00,1007.9
01.01.2020 05:30:00,1007.99
01.01.2020 05:40:00,1007.85
01.01.2020 05:50:00,1007.81
01.01.2020 06:00:00,1007.81
01.01.2020 06:10:00,1007.91
01.01.2020 06:20:00,1008.06
01.01.2020 06:30:00,1008.22
01.01.2020 06:40:00,1008.19
01.01.2020 06:50:00,1008.21
01.01.2020 07:00:00,1008.17
01.01.2020 07:10:00,1008.16
01.01.2020 07:20:00,1008.17
01.01.2020 07:30:00,1008.13
01.01.2020 07:40:00,1008.25
01.01.2020 07:50:00,1008.17
01.01.2020 08:00:00,1008.16
01.01.2020 08:10:00,1008.12
01.01.2020 08:20:00,1008.12
01.01.2020 08:30:00,1008.12
01.01.2020 08:40:00,1008.04
01.01.2020 08:50:00,1007.96
01.01.2020 09:00:00,1008.07
01.01.2020 09:10:00,1008.17
01.01.2020 09:20:00,1008.28
01.01.2020 09:30:00,1008.2
01.01.2020 09:40:00,1008.31
01.01.2020 09:50:00,1008.41
01.01.2020 10:00:00,1008.45
01.01.2020 10:10:00,1008.5
