DATE,AGE 0-4
10/13/02,582
10/20/02,683
10/27/02,642
11/3/02,728
11/10/02,823
11/17/02,887
11/24/02,851
12/1/02,802
12/8/02,834
12/15/02,857
12/22/02,804
12/29/02,951
1/5/03,915
1/12/03,1028
1/19/03,1068
1/26/03,1154
2/2/03,1373
2/9/03,1411
2/16/03,1606
2/23/03,1568
3/2/03,1694
3/9/03,1336
3/16/03,1015
3/23/03,880
3/30/03,737
4/6/03,624
4/13/03,506
4/20/03,569
4/27/03,440
5/4/03,429
5/11/03,275
5/18/03,215
5/25/03,248
6/1/03,264
6/8/03,213
6/15/03,201
6/22/03,198
6/29/03,139
7/6/03,122
7/13/03,109
7/20/03,137
7/27/03,98
8/3/03,112
8/10/03,100
8/17/03,136
8/24/03,120
8/31/03,159
9/7/03,166
9/14/03,177
9/21/03,145
9/28/03,136
10/5/03,135
10/12/03,808
10/19/03,913
10/26/03,878
11/2/03,1006
11/9/03,1207
11/16/03,1542
11/23/03,2185
11/30/03,2561
12/7/03,3247
12/14/03,4734
12/21/03,6620
12/28/03,6434
1/4/04,5336
1/11/04,3391
1/18/04,1679
1/25/04,1721
2/1/04,1487
2/8/04,1454
2/15/04,1420
2/22/04,1301
2/29/04,956
3/7/04,925
3/14/04,878
3/21/04,730
3/28/04,760
4/4/04,610
4/11/04,583
4/18/04,545
4/25/04,501
5/2/04,470
5/9/04,435
5/16/04,449
5/23/04,451
5/30/04,375
6/6/04,391
6/13/04,355
6/20/04,307
6/27/04,277
7/4/04,238
7/11/04,233
7/18/04,249
7/25/04,259
8/1/04,260
8/8/04,213
8/15/04,243
8/22/04,256
8/29/04,259
9/5/04,279
9/12/04,281
9/19/04,342
9/26/04,322
10/3/04,333
10/10/04,877
10/17/04,1071
10/24/04,1240
10/31/04,1190
11/7/04,1327
11/14/04,1497
11/21/04,1531
11/28/04,1490
12/5/04,1538
12/12/04,1551
12/19/04,1670
12/26/04,1856
1/2/05,2252
1/9/05,2010
1/16/05,2188
1/23/05,2199
1/30/05,2747
2/6/05,3086
2/13/05,3626
2/20/05,3834
2/27/05,3720
3/6/05,2997
3/13/05,2728
3/20/05,2416
3/27/05,2145
4/3/05,1827
4/10/05,1422
4/17/05,1356
4/24/05,1096
5/1/05,1117
5/8/05,903
5/15/05,979
5/22/05,805
5/29/05,687
6/5/05,693
6/12/05,548
6/19/05,573
6/26/05,580
7/3/05,497
7/10/05,426
7/17/05,389
7/24/05,333
7/31/05,328
8/7/05,331
8/14/05,319
8/21/05,330
8/28/05,292
9/4/05,342
9/11/05,338
9/18/05,302
9/25/05,368
10/2/05,381
10/9/05,1172
10/16/05,1285
10/23/05,1393
10/30/05,1439
11/6/05,1639
11/13/05,1563
11/20/05,1679
11/27/05,1666
12/4/05,1858
12/11/05,1987
12/18/05,2241
12/25/05,2696
1/1/06,2678
1/8/06,2422
1/15/06,2272
1/22/06,2249
1/29/06,2643
2/5/06,2612
2/12/06,2754
2/19/06,2624
2/26/06,2753
3/5/06,2579
3/12/06,2564
3/19/06,2330
3/26/06,1895
4/2/06,1697
4/9/06,1437
4/16/06,1181
4/23/06,959
4/30/06,836
5/7/06,745
5/14/06,745
5/21/06,715
5/28/06,699
6/4/06,572
6/11/06,754
6/18/06,514
6/25/06,463
7/2/06,466
7/9/06,437
7/16/06,549
7/23/06,541
7/30/06,502
8/6/06,508
8/13/06,473
8/20/06,510
8/27/06,404
9/3/06,398
9/10/06,492
9/17/06,446
9/24/06,511
10/1/06,476
10/8/06,1434
10/15/06,1278
10/22/06,1543
10/29/06,1582
11/5/06,1672
11/12/06,2112
11/19/06,2355
11/26/06,2188
12/3/06,2573
12/10/06,2643
12/17/06,3270
12/24/06,3387
12/31/06,3243
1/7/07,2927
1/14/07,2507
1/21/07,2548
1/28/07,3410
2/4/07,3456
2/11/07,3840
2/18/07,3879
2/25/07,3728
3/4/07,3016
3/11/07,2798
3/18/07,2668
3/25/07,2049
4/1/07,1664
4/8/07,1445
4/15/07,1429
4/22/07,1257
4/29/07,1152
5/6/07,969
5/13/07,917
5/20/07,815
5/27/07,761
6/3/07,722
6/10/07,628
6/17/07,598
6/24/07,521
7/1/07,514
7/8/07,394
7/15/07,366
7/22/07,446
7/29/07,477
8/5/07,321
8/12/07,389
8/19/07,439
8/26/07,495
9/2/07,502
9/9/07,519
9/16/07,496
9/23/07,609
9/30/07,729
10/7/07,2187
10/14/07,2387
10/21/07,2583
10/28/07,2871
11/4/07,3074
11/11/07,3398
11/18/07,3563
11/25/07,3651
12/2/07,3679
12/9/07,3365
12/16/07,3298
12/23/07,3580
12/30/07,3848
1/13/08,3737
1/20/08,3393
1/27/08,3664
2/3/08,4289
2/10/08,5222
2/17/08,6059
2/24/08,6244
3/2/08,5922
3/9/08,4978
3/16/08,4420
3/23/08,3878
3/30/08,3153
4/6/08,2689
4/13/08,2372
4/20/08,2045
4/27/08,1857
5/4/08,1572
5/11/08,1466
5/18/08,1356
5/25/08,1439
6/1/08,1393
6/8/08,1473
6/15/08,1159
6/22/08,1113
6/29/08,1115
7/6/08,937
7/13/08,913
7/20/08,881
7/27/08,826
8/3/08,779
8/10/08,788
8/17/08,679
8/24/08,789
8/31/08,730
9/7/08,794
9/14/08,774
9/21/08,859
9/28/08,1062
10/5/08,983
10/12/08,1535
10/19/08,1861
10/26/08,1869
11/2/08,1976
11/9/08,2119
11/16/08,2276
11/23/08,2512
11/30/08,2600
12/7/08,3024
12/14/08,3114
12/21/08,3252
12/28/08,3137
1/4/09,3897
1/11/09,3814
1/18/09,3142
1/25/09,3602
2/1/09,4039
2/8/09,4606
2/15/09,5064
2/22/09,4848
3/1/09,4694
3/8/09,4420
3/15/09,4046
3/22/09,3657
3/29/09,3237
4/5/09,2829
4/12/09,2577
4/19/09,2371
4/26/09,2353
5/3/09,4821
5/10/09,3920
5/17/09,3236
5/24/09,4188
5/31/09,4496
6/7/09,3865
6/14/09,3072
6/21/09,2623
6/28/09,2299
7/5/09,2145
7/12/09,1701
7/19/09,1581
7/26/09,1608
8/2/09,1519
8/9/09,1651
8/16/09,1645
8/23/09,2167
8/30/09,2883
9/6/09,3713
9/13/09,4087
9/20/09,4445
9/27/09,4462
10/4/09,4974
10/11/09,9302
10/18/09,11527
10/25/09,13187
11/1/09,13174
11/8/09,12161
11/15/09,10151
11/22/09,8979
11/29/09,7716
12/6/09,7195
12/13/09,6490
12/20/09,6275
12/27/09,6078
1/3/10,6598
1/10/10,4998
1/17/10,4877
1/24/10,5399
1/31/10,5333
2/7/10,5816
2/14/10,5496
2/21/10,5388
2/28/10,5040
3/7/10,4281
3/14/10,4612
3/21/10,4063
3/28/10,3625
4/4/10,3408
4/11/10,3090
4/18/10,3117
4/25/10,2921
5/2/10,3081
5/9/10,2781
5/16/10,2851
5/23/10,2816
5/30/10,2636
6/6/10,2413
6/13/10,2147
6/20/10,1975
6/27/10,2027
7/4/10,1754
7/11/10,1753
7/18/10,1458
7/25/10,1323
8/1/10,1290
8/8/10,1381
8/15/10,1378
8/22/10,1485
8/29/10,1520
9/5/10,1564
9/12/10,1850
9/19/10,1720
9/26/10,2134
10/3/10,1995
10/10/10,2627
10/17/10,2953
10/24/10,3044
10/31/10,3226
11/7/10,3451
11/14/10,3927
11/21/10,4416
11/28/10,4598
12/5/10,5045
12/12/10,5060
12/19/10,6300
12/26/10,7295
1/2/11,7478
1/9/11,6584
1/16/11,6238
1/23/11,7247
1/30/11,8007
2/6/11,8195
2/13/11,8036
2/20/11,8172
2/27/11,7839
3/6/11,6376
3/13/11,5691
3/20/11,5363
3/27/11,4400
4/3/11,4189
4/10/11,3701
4/17/11,3164
4/24/11,3139
5/1/11,2895
5/8/11,2532
5/15/11,2551
5/22/11,2353
5/29/11,2213
