Date Time,wv (m/s)
01.01.2020 00:10:00,1.02
01.01.2020 00:20:00,0.43
01.01.2020 00:30:00,0.61
01.01.2020 00:40:00,1.11
01.01.2020 00:50:00,0.49
01.01.2020 01:00:00,0.63
01.01.2020 01:10:00,0.88
01.01.2020 01:20:00,1.05
01.01.2020 01:30:00,0.9
01.01.2020 01:40:00,0.62
01.01.2020 01:50:00,0.61
01.01.2020 02:00:00,0.5
01.01.2020 02:10:00,0.48
01.01.2020 02:20:00,0.57
01.01.2020 02:30:00,0.28
01.01.2020 02:40:00,0.81
01.01.2020 02:50:00,0.42
01.01.2020 03:00:00,0.46
01.01.2020 03:10:00,0.32
01.01.2020 03:20:00,1.6
01.01.2020 03:30:00,1.2
01.01.2020 03:40:00,1.08
01.01.2020 03:50:00,0.79
01.01.2020 04:00:00,1.83
01.01.2020 04:10:00,1.16
01.01.2020 04:20:00,0.47
01.01.2020 04:30:00,0.81
01.01.2020 04:40:00,0.73
01.01.2020 04:50:00,1.05
01.01.2020 05:00:00,1.53
01.01.2020 05:10:00,1.18
01.01.2020 05:20:00,0.41
01.01.2020 05:30:00,1.09
01.01.2020 05:40:00,1.11
01.01.2020 05:50:00,0.47
01.01.2020 06:00:00,0.85
01.01.2020 06:10:00,1.36
01.01.2020 06:20:00,1
01.01.2020 06:30:00,0.62
01.01.2020 06:40:00,0.46
01.01.2020 06:50:00,0.41
01.01.2020 07:00:00,0.95
01.01.2020 07:10:00,1.24
01.01.2020 07:20:00,1
01.01.2020 07:30:00,0.72
01.01.2020 07:40:00,0.47
01.01.2020 07:50:00,0.89
01.01.2020 08:00:00,1.37
01.01.2020 08:10:00,1
01.01.2020 08:20:00,0.36
01.01.2020 08:30:00,0.21
01.01.2020 08:40:00,0.7
01.01.2020 08:50:00,1.13
01.01.2020 09:00:00,1.02
01.01.2020 09:10:00,0.99
01.01.2020 09:20:00,0.91
01.01.2020 09:30:00,0.89
01.01.2020 09:40:00,0.63
01.01.2020 09:50:00,0.56
01.01.2020 10:00:00,0.29
01.01.2020 10:10:00,0.45
01.01.2020 10:20:00,0.47
01.01.2020 10:30:00,0.87
01.01.2020 10:40:00,0.77
01.01.2020 10:50:00,0.67
01.01.2020 11:00:00,0.78
01.01.2020 11:10:00,1.33
01.01.2020 11:20:00,1.48
01.01.2020 11:30:00,1.46
01.01.2020 11:40:00,1.24
01.01.2020 11:50:00,0.89
01.01.2020 12:00:00,0.7
01.01.2020 12:10:00,0.83
01.01.2020 12:20:00,0.95
01.01.2020 12:30:00,1.24
01.01.2020 12:40:00,0.99
01.01.2020 12:50:00,0.65
01.01.2020 13:00:00,0.91
01.01.2020 13:10:00,1.15
01.01.2020 13:20:00,0.9
01.01.2020 13:30:00,0.86
01.01.2020 13:40:00,1.05
01.01.2020 13:50:00,0.68
01.01.2020 14:00:00,1.31
01.01.2020 14:10:00,0.92
01.01.2020 14:20:00,0.92
01.01.2020 14:30:00,0.95
01.01.2020 14:40:00,0.82
01.01.2020 14:50:00,0.62
01.01.2020 15:00:00,0.55
01.01.2020 15:10:00,0.79
01.01.2020 15:20:00,0.5
01.01.2020 15:30:00,0.36
01.01.2020 15:40:00,0.54
01.01.2020 15:50:00,0.78
01.01.2020 16:00:00,0.91
01.01.2020 16:10:00,1.08
01.01.2020 16:20:00,1.06
01.01.2020 16:30:00,1.06
01.01.2020 16:40:00,0.5
01.01.2020 16:50:00,0.24
