DATE,AGE 25-64
10/13/02,524
10/20/02,585
10/27/02,543
11/3/02,672
11/10/02,741
11/17/02,886
11/24/02,898
12/1/02,817
12/8/02,711
12/15/02,869
12/22/02,792
12/29/02,849
1/5/03,828
1/12/03,962
1/19/03,1091
1/26/03,1011
2/2/03,1104
2/9/03,1322
2/16/03,1421
2/23/03,1566
3/2/03,1537
3/9/03,1400
3/16/03,1085
3/23/03,987
3/30/03,773
4/6/03,640
4/13/03,541
4/20/03,551
4/27/03,382
5/4/03,394
5/11/03,272
5/18/03,245
5/25/03,235
6/1/03,169
6/8/03,179
6/15/03,133
6/22/03,180
6/29/03,127
7/6/03,163
7/13/03,94
7/20/03,120
7/27/03,116
8/3/03,121
8/10/03,102
8/17/03,136
8/24/03,133
8/31/03,120
9/7/03,112
9/14/03,124
9/21/03,122
9/28/03,116
10/5/03,143
10/12/03,607
10/19/03,696
10/26/03,811
11/2/03,884
11/9/03,1127
11/16/03,1249
11/23/03,1757
11/30/03,2425
12/7/03,2890
12/14/03,5330
12/21/03,5573
12/28/03,5906
1/4/04,4517
1/11/04,3827
1/18/04,1586
1/25/04,1276
2/1/04,1067
2/8/04,1047
2/15/04,889
2/22/04,876
2/29/04,719
3/7/04,682
3/14/04,764
3/21/04,756
3/28/04,628
4/4/04,495
4/11/04,440
4/18/04,500
4/25/04,461
5/2/04,349
5/9/04,383
5/16/04,361
5/23/04,337
5/30/04,280
6/6/04,289
6/13/04,257
6/20/04,258
6/27/04,245
7/4/04,215
7/11/04,210
7/18/04,227
7/25/04,162
8/1/04,189
8/8/04,225
8/15/04,247
8/22/04,200
8/29/04,231
9/5/04,252
9/12/04,263
9/19/04,299
9/26/04,268
10/3/04,319
10/10/04,853
10/17/04,971
10/24/04,1019
10/31/04,1223
11/7/04,1215
11/14/04,1279
11/21/04,1279
11/28/04,1274
12/5/04,1434
12/12/04,1450
12/19/04,1643
12/26/04,1608
1/2/05,2413
1/9/05,2869
1/16/05,2542
