Time,Australia
1,0.7855
2,0.7818
3,0.7867
4,0.786
5,0.7849
6,0.7866
7,0.7886
8,0.791
9,0.7939
10,0.7894
11,0.7917
12,0.7941
13,0.7935
14,0.7954
15,0.7751
16,0.7622
17,0.7583
18,0.7605
19,0.7635
20,0.766
21,0.7685
22,0.7702
23,0.7735
24,0.7655
25,0.7665
26,0.7575
27,0.7545
28,0.7493
29,0.7521
30,0.7521
31,0.7457
32,0.75
33,0.7567
34,0.7595
35,0.7586
36,0.7646
37,0.7652
38,0.765
39,0.7605
40,0.7601
41,0.7635
42,0.7596
43,0.7585
44,0.7611
45,0.7596
46,0.7607
47,0.7607
48,0.758
49,0.761
50,0.7635
51,0.7563
52,0.7536
53,0.7549
54,0.7565
55,0.752
56,0.7504
57,0.7474
58,0.7469
59,0.7452
60,0.7471
61,0.7523
62,0.7548
63,0.7561
64,0.7605
65,0.7669
66,0.765
67,0.765
68,0.763
69,0.7643
70,0.7663
71,0.7663
72,0.765
73,0.7654
74,0.7653
75,0.77
76,0.7732
77,0.7705
78,0.7655
79,0.7663
80,0.766
81,0.756
82,0.7503
83,0.75
84,0.7457
85,0.752
86,0.7552
87,0.7546
88,0.7565
89,0.7577
90,0.7585
91,0.7587
92,0.76
93,0.7669
94,0.7645
95,0.7625
96,0.7617
97,0.7605
98,0.764
99,0.764
100,0.7653
101,0.7623
102,0.7668
103,0.766
104,0.772
105,0.7678
106,0.7693
107,0.7676
108,0.771
109,0.7718
110,0.7775
111,0.7725
112,0.7751
113,0.774
114,0.7743
115,0.775
116,0.7756
117,0.7792
118,0.784
119,0.7833
120,0.7901
121,0.7852
122,0.7851
123,0.7846
124,0.7875
125,0.7853
126,0.7916
127,0.7964
128,0.7974
129,0.799
130,0.7974
131,0.8025
132,0.8066
133,0.7965
134,0.7913
135,0.7804
136,0.7815
137,0.7899
138,0.7915
139,0.7819
140,0.7838
141,0.7839
142,0.7858
143,0.7859
144,0.7792
145,0.7897
146,0.7916
147,0.7938
148,0.794
149,0.7859
150,0.785
151,0.79
152,0.7925
153,0.7953
154,0.7992
155,0.7977
156,0.8025
157,0.8061
158,0.8071
159,0.8045
160,0.807
161,0.808
162,0.8162
163,0.8205
164,0.8293
165,0.833
166,0.8311
167,0.8302
168,0.8325
169,0.8168
170,0.816
171,0.8147
172,0.8278
173,0.8237
174,0.8208
175,0.8123
176,0.817
177,0.8187
178,0.821
179,0.8267
180,0.8316
181,0.8335
182,0.8291
183,0.8266
184,0.8288
185,0.8315
186,0.8303
187,0.831
188,0.8267
189,0.8254
190,0.8311
191,0.8298
192,0.832
193,0.833
194,0.8351
195,0.8337
196,0.8265
197,0.814
198,0.8183
199,0.7888
200,0.787
201,0.7775
202,0.769
203,0.782
204,0.782
205,0.778
206,0.7804
207,0.7833
208,0.7812
209,0.7835
210,0.7821
211,0.7848
212,0.7837
213,0.7765
214,0.782
215,0.787
216,0.7785
217,0.7781
218,0.7794
219,0.7725
220,0.7707
221,0.772
222,0.7635
223,0.7653
224,0.7635
225,0.7658
226,0.7663
227,0.7684
228,0.7691
229,0.7722
230,0.774
231,0.7768
232,0.7773
233,0.7692
234,0.77
235,0.7735
236,0.7667
237,0.7677
238,0.766
239,0.7581
240,0.7675
241,0.766
242,0.7701
243,0.771
244,0.7734
245,0.773
246,0.774
247,0.774
248,0.7675
249,0.77
250,0.772
251,0.7735
252,0.7784
253,0.7793
254,0.7775
255,0.7785
256,0.7728
257,0.7733
258,0.7728
259,0.7765
260,0.781
261,0.7889
262,0.7817
263,0.7778
264,0.782
265,0.7841
266,0.7787
267,0.776
268,0.7812
269,0.7836
270,0.785
271,0.7826
272,0.782
273,0.7817
274,0.7765
275,0.7787
276,0.7816
277,0.7796
278,0.7793
279,0.7809
280,0.7875
281,0.7869
282,0.7886
283,0.788
284,0.7873
285,0.788
286,0.7838
287,0.7833
288,0.784
289,0.7836
290,0.7853
291,0.7848
292,0.7763
293,0.7727
294,0.7669
295,0.7673
296,0.7651
297,0.7688
298,0.7713
299,0.7679
300,0.7696
301,0.7683
302,0.7712
303,0.773
304,0.771
305,0.7713
306,0.7742
307,0.775
308,0.773
309,0.775
310,0.775
311,0.7786
312,0.7842
313,0.786
314,0.7846
315,0.7857
316,0.7871
317,0.7818
318,0.7844
319,0.7803
320,0.7799
321,0.779
322,0.7776
323,0.7728
324,0.7703
325,0.775
326,0.7741
327,0.7768
328,0.7795
329,0.7792
330,0.7788
331,0.778
332,0.7764
333,0.7795
334,0.7807
335,0.7838
336,0.783
337,0.7838
338,0.7791
339,0.7788
340,0.7835
341,0.7834
342,0.7825
343,0.7824
344,0.7765
345,0.7715
346,0.7565
347,0.759
348,0.7603
349,0.7605
350,0.7565
351,0.7594
352,0.7575
353,0.76
354,0.7603
355,0.7507
356,0.7515
357,0.752
358,0.755
359,0.7548
360,0.754
361,0.7598
362,0.763
363,0.7631
364,0.7641
365,0.765
366,0.7645
367,0.765
368,0.767
369,0.7675
370,0.767
371,0.7651
372,0.7643
373,0.7642
374,0.7651
375,0.7665
376,0.765
377,0.7664
378,0.7664
379,0.77
380,0.7738
381,0.7755
382,0.776
383,0.773
384,0.7785
385,0.7755
386,0.7738
387,0.7751
388,0.7758
389,0.7761
390,0.7792
391,0.778
392,0.7765
