Time,Canada
1,0.861698
2,0.861104
3,0.86103
4,0.862069
5,0.861995
6,0.86103
7,0.862887
8,0.864304
9,0.86423
10,0.858369
11,0.859107
12,0.853752
13,0.848176
14,0.845309
15,0.848896
16,0.843526
17,0.839983
18,0.837591
19,0.841397
20,0.839913
21,0.843313
22,0.842886
23,0.841255
24,0.840407
25,0.841822
26,0.837872
27,0.835352
28,0.8364
29,0.83167
30,0.833403
31,0.828638
32,0.829187
33,0.834028
34,0.831947
35,0.832432
36,0.83717
37,0.835422
38,0.834725
39,0.83696
40,0.838715
41,0.840195
42,0.837521
43,0.839913
44,0.84246
45,0.843811
46,0.847817
47,0.847961
48,0.848176
49,0.849041
50,0.851426
51,0.848896
52,0.847242
53,0.844809
54,0.847961
55,0.849762
56,0.849834
57,0.851064
58,0.850412
59,0.85034
60,0.850196
61,0.851571
62,0.854336
63,0.855066
64,0.857486
65,0.856678
66,0.855725
67,0.858001
68,0.860807
69,0.860956
70,0.858222
71,0.859771
72,0.858369
73,0.856898
74,0.855945
75,0.860363
76,0.860659
77,0.859993
78,0.861326
79,0.862589
80,0.861475
81,0.86192
82,0.85955
83,0.858074
84,0.858516
85,0.856678
86,0.856898
87,0.859623
88,0.860215
89,0.859476
90,0.857486
91,0.858148
92,0.848536
93,0.849618
94,0.84674
95,0.850557
96,0.851934
97,0.84868
98,0.847817
99,0.838786
100,0.84488
101,0.843526
102,0.844523
103,0.846167
104,0.848896
105,0.851426
106,0.852806
107,0.849907
108,0.850557
109,0.85266
110,0.855945
111,0.851064
112,0.853898
113,0.853606
114,0.853097
115,0.854336
116,0.853242
117,0.852733
118,0.851716
119,0.852951
120,0.851136
121,0.845881
122,0.847889
123,0.85237
124,0.854336
125,0.854847
126,0.857265
127,0.860659
128,0.860215
129,0.859697
130,0.859697
131,0.862664
132,0.864155
133,0.862292
134,0.862589
135,0.863632
136,0.862887
137,0.864828
138,0.867303
139,0.866701
140,0.86408
141,0.864304
142,0.865052
143,0.868056
144,0.868282
145,0.867905
146,0.86783
147,0.867303
148,0.866927
149,0.86783
150,0.868432
151,0.870701
152,0.869338
153,0.870322
154,0.87184
155,0.87146
156,0.87184
157,0.873057
158,0.874508
159,0.870928
160,0.873744
161,0.874279
162,0.877578
163,0.879894
164,0.883704
165,0.88199
166,0.879353
167,0.875503
168,0.878889
169,0.872981
170,0.866176
171,0.860956
172,0.867378
173,0.863632
174,0.859476
175,0.854336
176,0.859845
177,0.859993
178,0.858811
179,0.85859
180,0.862515
181,0.863931
182,0.863931
183,0.866101
