item_id,timestamp,target
1,1980-01-01 00:00:00,15136
1,1980-02-01 00:00:00,16733
1,1980-03-01 00:00:00,20016
1,1980-04-01 00:00:00,17708
1,1980-05-01 00:00:00,18019
1,1980-06-01 00:00:00,19227
1,1980-07-01 00:00:00,22893
1,1980-08-01 00:00:00,23739
1,1980-09-01 00:00:00,21133
1,1980-10-01 00:00:00,22591
1,1980-11-01 00:00:00,26786
1,1980-12-01 00:00:00,29740
1,1981-01-01 00:00:00,15028
1,1981-02-01 00:00:00,17977
1,1981-03-01 00:00:00,20008
1,1981-04-01 00:00:00,21354
1,1981-05-01 00:00:00,19498
1,1981-06-01 00:00:00,22125
1,1981-07-01 00:00:00,25817
1,1981-08-01 00:00:00,28779
1,1981-09-01 00:00:00,20960
1,1981-10-01 00:00:00,22254
1,1981-11-01 00:00:00,27392
1,1981-12-01 00:00:00,29945
1,1982-01-01 00:00:00,16933
1,1982-02-01 00:00:00,17892
1,1982-03-01 00:00:00,20533
1,1982-04-01 00:00:00,23569
1,1982-05-01 00:00:00,22417
1,1982-06-01 00:00:00,22084
1,1982-07-01 00:00:00,26580
1,1982-08-01 00:00:00,27454
1,1982-09-01 00:00:00,24081
1,1982-10-01 00:00:00,23451
1,1982-11-01 00:00:00,28991
1,1982-12-01 00:00:00,31386
1,1983-01-01 00:00:00,16896
1,1983-02-01 00:00:00,20045
1,1983-03-01 00:00:00,23471
1,1983-04-01 00:00:00,21747
1,1983-05-01 00:00:00,25621
1,1983-06-01 00:00:00,23859
1,1983-07-01 00:00:00,25500
1,1983-08-01 00:00:00,30998
1,1983-09-01 00:00:00,24475
1,1983-10-01 00:00:00,23145
1,1983-11-01 00:00:00,29701
1,1983-12-01 00:00:00,34365
1,1984-01-01 00:00:00,17556
1,1984-02-01 00:00:00,22077
1,1984-03-01 00:00:00,25702
1,1984-04-01 00:00:00,22214
1,1984-05-01 00:00:00,26886
1,1984-06-01 00:00:00,23191
1,1984-07-01 00:00:00,27831
1,1984-08-01 00:00:00,35406
1,1984-09-01 00:00:00,23195
1,1984-10-01 00:00:00,25110
1,1984-11-01 00:00:00,30009
1,1984-12-01 00:00:00,36242
1,1985-01-01 00:00:00,18450
1,1985-02-01 00:00:00,21845
1,1985-03-01 00:00:00,26488
1,1985-04-01 00:00:00,22394
1,1985-05-01 00:00:00,28057
1,1985-06-01 00:00:00,25451
1,1985-07-01 00:00:00,24872
1,1985-08-01 00:00:00,33424
1,1985-09-01 00:00:00,24052
1,1985-10-01 00:00:00,28449
1,1985-11-01 00:00:00,33533
1,1985-12-01 00:00:00,37351
1,1986-01-01 00:00:00,19969
1,1986-02-01 00:00:00,21701
1,1986-03-01 00:00:00,26249
1,1986-04-01 00:00:00,24493
1,1986-05-01 00:00:00,24603
1,1986-06-01 00:00:00,26485
1,1986-07-01 00:00:00,30723
1,1986-08-01 00:00:00,34569
1,1986-09-01 00:00:00,26689
1,1986-10-01 00:00:00,26157
1,1986-11-01 00:00:00,32064
1,1986-12-01 00:00:00,38870
1,1987-01-01 00:00:00,21337
1,1987-02-01 00:00:00,19419
1,1987-03-01 00:00:00,23166
1,1987-04-01 00:00:00,28286
1,1987-05-01 00:00:00,24570
1,1987-06-01 00:00:00,24001
1,1987-07-01 00:00:00,33151
1,1987-08-01 00:00:00,24878
1,1987-09-01 00:00:00,26804
1,1987-10-01 00:00:00,28967
1,1987-11-01 00:00:00,33311
1,1987-12-01 00:00:00,40226
1,1988-01-01 00:00:00,20504
1,1988-02-01 00:00:00,23060
1,1988-03-01 00:00:00,23562
1,1988-04-01 00:00:00,27562
1,1988-05-01 00:00:00,23940
1,1988-06-01 00:00:00,24584
1,1988-07-01 00:00:00,34303
1,1988-08-01 00:00:00,25517
1,1988-09-01 00:00:00,23494
1,1988-10-01 00:00:00,29095
1,1988-11-01 00:00:00,32903
1,1988-12-01 00:00:00,34379
1,1989-01-01 00:00:00,16991
1,1989-02-01 00:00:00,21109
1,1989-03-01 00:00:00,23740
1,1989-04-01 00:00:00,25552
1,1989-05-01 00:00:00,21752
1,1989-06-01 00:00:00,20294
1,1989-07-01 00:00:00,29009
1,1989-08-01 00:00:00,25500
1,1989-09-01 00:00:00,24166
1,1989-10-01 00:00:00,26960
1,1989-11-01 00:00:00,31222
1,1989-12-01 00:00:00,38641
1,1990-01-01 00:00:00,14672
